date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:26:58	237/237	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2024%20May%202022%2016:56:58%20GMT	http://paul-themes.com/robots.txt		(from )
22:26:58	50938/50938	---MCZ	200	added ('OK')	text/html	date:Tue,%2024%20May%202022%2016:56:57%20GMT	http://paul-themes.com/html/bauhaus-op/demo/index-dark.html	C:/Users/PC/Desktop/Artist/DAS/paul-themes.com/html/bauhaus-op/demo/index-dark.html	(from )
22:26:59	1214/1214	---M--	200	added ('OK')	image/png	etag:%225c801ec6-4be%22	http://paul-themes.com/html/bauhaus-op/demo/favicon.png	C:/Users/PC/Desktop/Artist/DAS/paul-themes.com/html/bauhaus-op/demo/favicon.png	(from http://paul-themes.com/html/bauhaus-op/demo/index-dark.html)
22:26:59	1215/1215	---M--	200	added ('OK')	image/png	etag:%225c801ec6-4bf%22	http://paul-themes.com/html/bauhaus-op/demo/apple-touch-icon.png	C:/Users/PC/Desktop/Artist/DAS/paul-themes.com/html/bauhaus-op/demo/apple-touch-icon.png	(from http://paul-themes.com/html/bauhaus-op/demo/index-dark.html)
22:26:59	1879/1879	---M--	200	added ('OK')	image/png	etag:%225c801ec6-757%22	http://paul-themes.com/html/bauhaus-op/demo/apple-touch-icon-72x72.png	C:/Users/PC/Desktop/Artist/DAS/paul-themes.com/html/bauhaus-op/demo/apple-touch-icon-72x72.png	(from http://paul-themes.com/html/bauhaus-op/demo/index-dark.html)
22:27:00	2743/2743	---M--	200	added ('OK')	image/png	etag:%225c801ec5-ab7%22	http://paul-themes.com/html/bauhaus-op/demo/apple-touch-icon-114x114.png	C:/Users/PC/Desktop/Artist/DAS/paul-themes.com/html/bauhaus-op/demo/apple-touch-icon-114x114.png	(from http://paul-themes.com/html/bauhaus-op/demo/index-dark.html)
22:27:00	32283/32283	---MCZ	200	added ('OK')	text/css	etag:W/%225c801ec9-a882%22	http://paul-themes.com/html/bauhaus-op/demo/css/style.css	C:/Users/PC/Desktop/Artist/DAS/paul-themes.com/html/bauhaus-op/demo/css/style.css	(from http://paul-themes.com/html/bauhaus-op/demo/index-dark.html)
22:27:02	2029/2029	---MCZ	200	added ('OK')	text/css	etag:W/%225c801ec8-9b9%22	http://paul-themes.com/html/bauhaus-op/demo/css/dark.css	C:/Users/PC/Desktop/Artist/DAS/paul-themes.com/html/bauhaus-op/demo/css/dark.css	(from http://paul-themes.com/html/bauhaus-op/demo/index-dark.html)
22:27:03	1205/1205	---M--	200	added ('OK')	image/png	etag:%225c801ecc-4b5%22	http://paul-themes.com/html/bauhaus-op/demo/images/brand-white.png	C:/Users/PC/Desktop/Artist/DAS/paul-themes.com/html/bauhaus-op/demo/images/brand-white.png	(from http://paul-themes.com/html/bauhaus-op/demo/index-dark.html)
22:27:17	311130/311130	---M--	200	added ('OK')	image/jpeg	etag:%225c801eda-4bf5a%22	http://paul-themes.com/html/bauhaus-op/demo/images/slider/slide1.jpg	C:/Users/PC/Desktop/Artist/DAS/paul-themes.com/html/bauhaus-op/demo/images/slider/slide1.jpg	(from http://paul-themes.com/html/bauhaus-op/demo/index-dark.html)
22:28:22	20948/20948	---M--	200	added ('OK')	image/jpeg	etag:%225c801ed6-51d4%22	http://paul-themes.com/html/bauhaus-op/demo/images/projects/1-426x574.jpg	C:/Users/PC/Desktop/Artist/DAS/paul-themes.com/html/bauhaus-op/demo/images/projects/1-426x574.jpg	(from http://paul-themes.com/html/bauhaus-op/demo/index-dark.html)
22:28:33	54505/54505	---M--	200	added ('OK')	image/jpeg	etag:%225c801ed6-d4e9%22	http://paul-themes.com/html/bauhaus-op/demo/images/projects/2-426x574.jpg	C:/Users/PC/Desktop/Artist/DAS/paul-themes.com/html/bauhaus-op/demo/images/projects/2-426x574.jpg	(from http://paul-themes.com/html/bauhaus-op/demo/index-dark.html)
