date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:24:44	63371/63371	---M-Z	200	added ('OK')	text/html	date:Tue,%2015%20Mar%202022%2010:12:07%20GMT	https://avstechnolabs.com/Themeforest/Gaspar/01/Dark/	C:/Users/PC/Desktop/Artist/Devl%20PortFolio/avstechnolabs.com/Themeforest/Gaspar/01/Dark/index.html	(from )
19:24:44	358/358	---M-Z	404	error ('Not%20Found')	text/html	date:Wed,%2024%20Feb%202021%2015:22:30%20GMT	https://avstechnolabs.com/robots.txt		(from )
19:24:44	2895/2895	---M--	200	added ('OK')	image/png	date:Tue,%2015%20Mar%202022%2010:13:53%20GMT	https://avstechnolabs.com/Themeforest/Gaspar/01/Dark/assets/images/logo/favicon.png	C:/Users/PC/Desktop/Artist/Devl%20PortFolio/avstechnolabs.com/Themeforest/Gaspar/01/Dark/assets/images/logo/favicon.png	(from https://avstechnolabs.com/Themeforest/Gaspar/01/Dark/)
19:24:44	1336/1336	---M--	200	added ('OK')	text/css	date:Tue,%2015%20Mar%202022%2010:12:17%20GMT	https://avstechnolabs.com/Themeforest/Gaspar/01/Dark/assets/fonts/font.css	C:/Users/PC/Desktop/Artist/Devl%20PortFolio/avstechnolabs.com/Themeforest/Gaspar/01/Dark/assets/fonts/font.css	(from https://avstechnolabs.com/Themeforest/Gaspar/01/Dark/)
19:24:45	58938/58938	---M--	200	added ('OK')	text/css	date:Tue,%2015%20Mar%202022%2010:12:08%20GMT	https://avstechnolabs.com/Themeforest/Gaspar/01/Dark/assets/css/all.css	C:/Users/PC/Desktop/Artist/Devl%20PortFolio/avstechnolabs.com/Themeforest/Gaspar/01/Dark/assets/css/all.css	(from https://avstechnolabs.com/Themeforest/Gaspar/01/Dark/)
19:24:45	3351/3351	---M--	200	added ('OK')	text/css	date:Tue,%2015%20Mar%202022%2010:12:14%20GMT	https://avstechnolabs.com/Themeforest/Gaspar/01/Dark/assets/css/owl.carousel.min.css	C:/Users/PC/Desktop/Artist/Devl%20PortFolio/avstechnolabs.com/Themeforest/Gaspar/01/Dark/assets/css/owl.carousel.min.css	(from https://avstechnolabs.com/Themeforest/Gaspar/01/Dark/)
19:24:45	163872/163872	---M--	200	added ('OK')	text/css	date:Tue,%2015%20Mar%202022%2010:12:11%20GMT	https://avstechnolabs.com/Themeforest/Gaspar/01/Dark/assets/css/bootstrap.min.css	C:/Users/PC/Desktop/Artist/Devl%20PortFolio/avstechnolabs.com/Themeforest/Gaspar/01/Dark/assets/css/bootstrap.min.css	(from https://avstechnolabs.com/Themeforest/Gaspar/01/Dark/)
19:24:45	12795/12795	---M--	200	added ('OK')	text/css	date:Tue,%2015%20Mar%202022%2010:12:14%20GMT	https://avstechnolabs.com/Themeforest/Gaspar/01/Dark/assets/css/jquery.fancybox.min.css	C:/Users/PC/Desktop/Artist/Devl%20PortFolio/avstechnolabs.com/Themeforest/Gaspar/01/Dark/assets/css/jquery.fancybox.min.css	(from https://avstechnolabs.com/Themeforest/Gaspar/01/Dark/)
19:24:46	72086/72086	---M--	200	added ('OK')	text/css	date:Tue,%2015%20Mar%202022%2010:12:11%20GMT	https://avstechnolabs.com/Themeforest/Gaspar/01/Dark/assets/css/animate.min.css	C:/Users/PC/Desktop/Artist/Devl%20PortFolio/avstechnolabs.com/Themeforest/Gaspar/01/Dark/assets/css/animate.min.css	(from https://avstechnolabs.com/Themeforest/Gaspar/01/Dark/)
19:24:46	4263/4263	---M--	200	added ('OK')	text/css	date:Tue,%2015%20Mar%202022%2010:12:11%20GMT	https://avstechnolabs.com/Themeforest/Gaspar/01/Dark/assets/css/colors.css	C:/Users/PC/Desktop/Artist/Devl%20PortFolio/avstechnolabs.com/Themeforest/Gaspar/01/Dark/assets/css/colors.css	(from https://avstechnolabs.com/Themeforest/Gaspar/01/Dark/)
19:24:46	26547/26547	---M--	200	added ('OK')	text/css	date:Tue,%2015%20Mar%202022%2010:12:14%20GMT	https://avstechnolabs.com/Themeforest/Gaspar/01/Dark/assets/css/styles.css	C:/Users/PC/Desktop/Artist/Devl%20PortFolio/avstechnolabs.com/Themeforest/Gaspar/01/Dark/assets/css/styles.css	(from https://avstechnolabs.com/Themeforest/Gaspar/01/Dark/)
19:24:46	1801/1801	---M--	200	added ('OK')	text/css	date:Tue,%2015%20Mar%202022%2010:13:18%20GMT	https://avstechnolabs.com/Themeforest/Gaspar/01/Dark/assets/css/colors/orange.css	C:/Users/PC/Desktop/Artist/Devl%20PortFolio/avstechnolabs.com/Themeforest/Gaspar/01/Dark/assets/css/colors/orange.css	(from https://avstechnolabs.com/Themeforest/Gaspar/01/Dark/)
19:24:46	7602/7602	---M--	200	added ('OK')	text/css	date:Tue,%2015%20Mar%202022%2010:12:14%20GMT	https://avstechnolabs.com/Themeforest/Gaspar/01/Dark/assets/css/responsive.css	C:/Users/PC/Desktop/Artist/Devl%20PortFolio/avstechnolabs.com/Themeforest/Gaspar/01/Dark/assets/css/responsive.css	(from https://avstechnolabs.com/Themeforest/Gaspar/01/Dark/)
19:24:47	2157/2157	---M--	200	added ('OK')	image/png	date:Tue,%2015%20Mar%202022%2010:13:43%20GMT	https://avstechnolabs.com/Themeforest/Gaspar/01/Dark/assets/images/colors/orange.png	C:/Users/PC/Desktop/Artist/Devl%20PortFolio/avstechnolabs.com/Themeforest/Gaspar/01/Dark/assets/images/colors/orange.png	(from https://avstechnolabs.com/Themeforest/Gaspar/01/Dark/)
19:24:47	2159/2159	---M--	200	added ('OK')	image/png	date:Tue,%2015%20Mar%202022%2010:13:46%20GMT	https://avstechnolabs.com/Themeforest/Gaspar/01/Dark/assets/images/colors/purple.png	C:/Users/PC/Desktop/Artist/Devl%20PortFolio/avstechnolabs.com/Themeforest/Gaspar/01/Dark/assets/images/colors/purple.png	(from https://avstechnolabs.com/Themeforest/Gaspar/01/Dark/)
19:24:47	2364/2364	---M--	200	added ('OK')	image/png	date:Tue,%2015%20Mar%202022%2010:13:46%20GMT	https://avstechnolabs.com/Themeforest/Gaspar/01/Dark/assets/images/colors/red.png	C:/Users/PC/Desktop/Artist/Devl%20PortFolio/avstechnolabs.com/Themeforest/Gaspar/01/Dark/assets/images/colors/red.png	(from https://avstechnolabs.com/Themeforest/Gaspar/01/Dark/)
19:24:47	2160/2160	---M--	200	added ('OK')	image/png	date:Tue,%2015%20Mar%202022%2010:13:49%20GMT	https://avstechnolabs.com/Themeforest/Gaspar/01/Dark/assets/images/colors/violet.png	C:/Users/PC/Desktop/Artist/Devl%20PortFolio/avstechnolabs.com/Themeforest/Gaspar/01/Dark/assets/images/colors/violet.png	(from https://avstechnolabs.com/Themeforest/Gaspar/01/Dark/)
19:24:48	2159/2159	---M--	200	added ('OK')	image/png	date:Tue,%2015%20Mar%202022%2010:13:40%20GMT	https://avstechnolabs.com/Themeforest/Gaspar/01/Dark/assets/images/colors/blue.png	C:/Users/PC/Desktop/Artist/Devl%20PortFolio/avstechnolabs.com/Themeforest/Gaspar/01/Dark/assets/images/colors/blue.png	(from https://avstechnolabs.com/Themeforest/Gaspar/01/Dark/)
19:24:48	2144/2144	---M--	200	added ('OK')	image/png	date:Tue,%2015%20Mar%202022%2010:13:40%20GMT	https://avstechnolabs.com/Themeforest/Gaspar/01/Dark/assets/images/colors/golden.png	C:/Users/PC/Desktop/Artist/Devl%20PortFolio/avstechnolabs.com/Themeforest/Gaspar/01/Dark/assets/images/colors/golden.png	(from https://avstechnolabs.com/Themeforest/Gaspar/01/Dark/)
