date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:20:42	1580/1580	---MCZ	200	added ('OK')	text/html	etag:W/%22a4f40b3ffb308343cf511293a91da53a%22	https://site122268.nicepage.io/robots.txt		(from )
00:20:42	24566/24566	---MCZ	200	added ('OK')	text/html	etag:W/%228eae88ff967589dd9f113d0b0beccbcc%22	https://site122268.nicepage.io/?version=8ee41882-974f-485d-9114-88ec4fe75cee&uid=c33274b0-19c4-4a24-b34a-1bfbd44b46b1	C:/Users/PC/Desktop/Artist/b/site122268.nicepage.io/index3868.html	(from )
00:20:44	1247053/1247053	---MCZ	200	added ('OK')	text/css	etag:W/%22958c494645c241855dd8e2d56b63f0da%22	https://site122268.nicepage.io/nicepage.css	C:/Users/PC/Desktop/Artist/b/site122268.nicepage.io/nicepage.css	(from https://site122268.nicepage.io/?version=8ee41882-974f-485d-9114-88ec4fe75cee&uid=c33274b0-19c4-4a24-b34a-1bfbd44b46b1)
00:20:44	16662/16662	---MCZ	200	added ('OK')	text/css	etag:W/%2208506b25d8cc67f8dc541624ea048883%22	https://site122268.nicepage.io/Page-1.css	C:/Users/PC/Desktop/Artist/b/site122268.nicepage.io/Page-1.css	(from https://site122268.nicepage.io/?version=8ee41882-974f-485d-9114-88ec4fe75cee&uid=c33274b0-19c4-4a24-b34a-1bfbd44b46b1)
00:20:48	237219/237219	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22b762e248752ae0498368525482d41e31%22	http://capp.nicepage.com/1eb2dcd2714488c0ef25b6236e5b3262eff266b3/nicepage.js	C:/Users/PC/Desktop/Artist/b/capp.nicepage.com/1eb2dcd2714488c0ef25b6236e5b3262eff266b3/nicepage.js	(from https://site122268.nicepage.io/?version=8ee41882-974f-485d-9114-88ec4fe75cee&uid=c33274b0-19c4-4a24-b34a-1bfbd44b46b1)
00:20:48	92629/92629	---MCZ	200	added ('OK')	application/javascript	etag:W/%22397754ba49e9e0cf4e7c190da78dda05%22	http://capp.nicepage.com/assets/jquery-1.9.1.min.js	C:/Users/PC/Desktop/Artist/b/capp.nicepage.com/assets/jquery-1.9.1.min.js	(from https://site122268.nicepage.io/?version=8ee41882-974f-485d-9114-88ec4fe75cee&uid=c33274b0-19c4-4a24-b34a-1bfbd44b46b1)
00:20:50	24507/24507	---MCZ	200	added ('OK')	text/html	etag:W/%2202b0f24852682f4940ee4b11082b7f9f%22	https://site122268.nicepage.io/Page-1.html	C:/Users/PC/Desktop/Artist/b/site122268.nicepage.io/Page-1.html	(from https://site122268.nicepage.io/?version=8ee41882-974f-485d-9114-88ec4fe75cee&uid=c33274b0-19c4-4a24-b34a-1bfbd44b46b1)
00:21:00	149745/149745	---M--	200	added ('OK')	image/png	etag:%2202d56b9cbb654584767f2ff6edbf3c18%22	http://images01.nicepage.com/4ecf64d9535ea50270c13255/4d7093ae942755efa4051432/a72c30bc-3c25-44f9-9594-cc18984519ca.png	C:/Users/PC/Desktop/Artist/b/images01.nicepage.com/4ecf64d9535ea50270c13255/4d7093ae942755efa4051432/a72c30bc-3c25-44f9-9594-cc18984519ca.png	(from https://site122268.nicepage.io/?version=8ee41882-974f-485d-9114-88ec4fe75cee&uid=c33274b0-19c4-4a24-b34a-1bfbd44b46b1)
00:21:01	121041/121041	---M--	200	added ('OK')	image/jpeg	etag:%222f0ee33fd49f1c0f1c3d95fd86e02182%22	http://images01.nicepage.com/4ecf64d9535ea50270c13255/f5b72ef9db375a4580eac96c/18b25577-1403-43e1-a064-167251408a8c.jpg	C:/Users/PC/Desktop/Artist/b/images01.nicepage.com/4ecf64d9535ea50270c13255/f5b72ef9db375a4580eac96c/18b25577-1403-43e1-a064-167251408a8c.jpg	(from https://site122268.nicepage.io/?version=8ee41882-974f-485d-9114-88ec4fe75cee&uid=c33274b0-19c4-4a24-b34a-1bfbd44b46b1)
00:21:01	4636/4636	---MCZ	200	added ('OK')	text/html	etag:W/%22a4f40b3ffb308343cf511293a91da53a%22	https://site122268.nicepage.io/images/7.webp	C:/Users/PC/Desktop/Artist/b/site122268.nicepage.io/images/7.html	(from https://site122268.nicepage.io/?version=8ee41882-974f-485d-9114-88ec4fe75cee&uid=c33274b0-19c4-4a24-b34a-1bfbd44b46b1)
00:21:06	59795/59795	---M--	200	added ('OK')	image/jpeg	etag:%22a2b87a87b7fd6f6d71dc613c17a2eac0%22	http://images01.nicepage.com/4ecf64d9535ea50270c13255/be6de2af6af25588913a5415/b361f743-2ea1-4a66-b1d8-36af1dad06ea.jpg	C:/Users/PC/Desktop/Artist/b/images01.nicepage.com/4ecf64d9535ea50270c13255/be6de2af6af25588913a5415/b361f743-2ea1-4a66-b1d8-36af1dad06ea.jpg	(from https://site122268.nicepage.io/?version=8ee41882-974f-485d-9114-88ec4fe75cee&uid=c33274b0-19c4-4a24-b34a-1bfbd44b46b1)
