date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:35:58	153/153	---M--	200	added ('OK')	text/plain	date:Sat,%2027%20Apr%202019%2022:10:08%20GMT	http://incognitothemes.com/robots.txt		(from )
11:36:00	51992/51992	---M-Z	200	added ('OK')	text/html	date:Thu,%2002%20Jan%202020%2015:31:14%20GMT	http://incognitothemes.com/spyder/	C:/Users/PC/Desktop/Artist/studio%202/incognitothemes.com/spyder/index.html	(from )
11:36:00	1150/1150	---M--	200	added ('OK')	image/x-icon	date:Fri,%2006%20Dec%202019%2016:58:50%20GMT	http://incognitothemes.com/spyder/assets/images/favicon.ico	C:/Users/PC/Desktop/Artist/studio%202/incognitothemes.com/spyder/assets/images/favicon.ico	(from http://incognitothemes.com/spyder/)
11:36:02	148921/148921	---M-Z	200	added ('OK')	text/css	date:Sat,%2007%20Dec%202019%2011:51:49%20GMT	http://incognitothemes.com/spyder/assets/css/master.css	C:/Users/PC/Desktop/Artist/studio%202/incognitothemes.com/spyder/assets/css/master.css	(from http://incognitothemes.com/spyder/)
11:36:03	29542/29542	---M-Z	200	added ('OK')	text/css	date:Sat,%2007%20Dec%202019%2019:50:02%20GMT	http://incognitothemes.com/spyder/assets/css/responsive.css	C:/Users/PC/Desktop/Artist/studio%202/incognitothemes.com/spyder/assets/css/responsive.css	(from http://incognitothemes.com/spyder/)
11:36:04	30072/30072	---M-Z	200	added ('OK')	text/css	date:Thu,%2002%20Nov%202017%2007:21:24%20GMT	http://incognitothemes.com/spyder/revolution/css/settings.css	C:/Users/PC/Desktop/Artist/studio%202/incognitothemes.com/spyder/revolution/css/settings.css	(from http://incognitothemes.com/spyder/)
11:36:06	146409/146409	---M-Z	200	added ('OK')	text/css	date:Wed,%2006%20Jun%202018%2015:11:16%20GMT	http://incognitothemes.com/spyder/revolution/css/layers.css	C:/Users/PC/Desktop/Artist/studio%202/incognitothemes.com/spyder/revolution/css/layers.css	(from http://incognitothemes.com/spyder/)
11:36:07	59248/59248	---M-Z	200	added ('OK')	text/css	date:Wed,%2006%20Jun%202018%2015:12:24%20GMT	http://incognitothemes.com/spyder/revolution/css/navigation.css	C:/Users/PC/Desktop/Artist/studio%202/incognitothemes.com/spyder/revolution/css/navigation.css	(from http://incognitothemes.com/spyder/)
11:36:08	51992/51992	---M-Z	200	added ('OK')	text/html	date:Thu,%2002%20Jan%202020%2015:31:14%20GMT	http://incognitothemes.com/spyder/index.html	C:/Users/PC/Desktop/Artist/studio%202/incognitothemes.com/spyder/index-2.html	(from http://incognitothemes.com/spyder/)
11:36:09	2639/2639	---M--	200	added ('OK')	image/png	date:Mon,%2002%20Dec%202019%2016:25:54%20GMT	http://incognitothemes.com/spyder/assets/images/logo-white.png	C:/Users/PC/Desktop/Artist/studio%202/incognitothemes.com/spyder/assets/images/logo-white.png	(from http://incognitothemes.com/spyder/)
11:36:09	2950/2950	---M--	200	added ('OK')	image/png	date:Mon,%2002%20Dec%202019%2016:26:32%20GMT	http://incognitothemes.com/spyder/assets/images/logo-black.png	C:/Users/PC/Desktop/Artist/studio%202/incognitothemes.com/spyder/assets/images/logo-black.png	(from http://incognitothemes.com/spyder/)
11:36:31	13116/13116	---M-Z	200	added ('OK')	text/html	date:Tue,%2031%20Dec%202019%2011:55:25%20GMT	http://incognitothemes.com/spyder/works.html	C:/Users/PC/Desktop/Artist/studio%202/incognitothemes.com/spyder/works.html	(from http://incognitothemes.com/spyder/)
11:37:34	361647/361647	---M--	200	added ('OK')	image/jpeg	date:Tue,%2003%20Dec%202019%2019:51:02%20GMT	http://incognitothemes.com/spyder/assets/images/bg-left-img.jpg	C:/Users/PC/Desktop/Artist/studio%202/incognitothemes.com/spyder/assets/images/bg-left-img.jpg	(from http://incognitothemes.com/spyder/)
11:37:48	441847/441847	---M--	200	added ('OK')	image/jpeg	date:Tue,%2003%20Dec%202019%2019:37:02%20GMT	http://incognitothemes.com/spyder/assets/images/team/team-01.jpg	C:/Users/PC/Desktop/Artist/studio%202/incognitothemes.com/spyder/assets/images/team/team-01.jpg	(from http://incognitothemes.com/spyder/)
11:38:25	291388/291388	---M--	200	added ('OK')	image/jpeg	date:Tue,%2003%20Dec%202019%2019:38:14%20GMT	http://incognitothemes.com/spyder/assets/images/team/team-03.jpg	C:/Users/PC/Desktop/Artist/studio%202/incognitothemes.com/spyder/assets/images/team/team-03.jpg	(from http://incognitothemes.com/spyder/)
11:38:39	78783/78783	---M--	200	added ('OK')	image/jpeg	date:Mon,%2002%20Dec%202019%2019:58:08%20GMT	http://incognitothemes.com/spyder/assets/images/portfolio/grid/9.jpg	C:/Users/PC/Desktop/Artist/studio%202/incognitothemes.com/spyder/assets/images/portfolio/grid/9.jpg	(from http://incognitothemes.com/spyder/)
11:38:43	330476/330476	---M--	200	added ('OK')	image/jpeg	date:Tue,%2003%20Dec%202019%2019:38:32%20GMT	http://incognitothemes.com/spyder/assets/images/team/team-04.jpg	C:/Users/PC/Desktop/Artist/studio%202/incognitothemes.com/spyder/assets/images/team/team-04.jpg	(from http://incognitothemes.com/spyder/)
11:38:49	91426/91426	---M--	200	added ('OK')	image/jpeg	date:Mon,%2002%20Dec%202019%2020:45:32%20GMT	http://incognitothemes.com/spyder/assets/images/portfolio/grid/10.jpg	C:/Users/PC/Desktop/Artist/studio%202/incognitothemes.com/spyder/assets/images/portfolio/grid/10.jpg	(from http://incognitothemes.com/spyder/)
